,average,CREGION,AGE,SEX,EDUCATION,CITIZEN,MARITAL,RELIG,RELIGATTEND,POLPARTY,INCOME,POLIDEOLOGY,RACE
GOVRESP_g_W54,0.038121182216569224,0.0015946462204132143,0.01774389435829526,0.019522973313684546,0.005247239235205656,0.005756138644783449,0.017338602713935107,0.033274626033416896,0.01223959638133862,0.1506403409812809,0.011246328471125418,0.1410314881877545,0.04181831205759706
GOVPRIORITYb_W54,0.03405501308267292,0.002478780136341869,0.024889221982431865,0.002684304768894776,0.015584281083523896,0.0026079561121464642,0.014890307096732275,0.04144617845670357,0.016493019148112506,0.1307915696198166,0.0032380528308919793,0.14214881712077507,0.01140766863570417
GOVRESP_f_W54,0.03336258487559703,0.002135642137304306,0.013243933486561728,0.015032883614735655,0.0013261124519792248,0.0046881346672735845,0.01860468382833397,0.023210271586968593,0.01240229544761126,0.13511454335272255,0.011894162791257228,0.12944591745993012,0.03325243768248616
GOVPRIORITYd_W54,0.03309146494604354,0.0035543647198750805,0.008660762490548335,0.009101055204868,0.008253763857932908,0.002777516252691893,0.011893979488781077,0.034818506906849886,0.019711706783508417,0.1318808104479001,0.0028190496472567874,0.15334650525207802,0.01027955830023202
POOREASY_W53,0.030880227916374684,0.0021469322201481595,0.004898504108590918,0.005277104895827399,0.004481566728595201,0.00215598867903891,0.011826671884697826,0.03684826465195516,0.012058901278515348,0.11890201812016138,0.010172379603643462,0.13274773260246206,0.029046670222860387
INEQ1_W54,0.027627035728073093,0.002895455405248107,0.006823176473898335,0.009185171418946756,0.021206840601569913,0.002055793706511801,0.011457681759832996,0.027460507729261067,0.01459902718968444,0.10201862417088531,0.012424192753757718,0.10483235870549558,0.016565598821785085
INEQ10_W54,0.027457587195549225,0.000628426662639577,0.002960113941619391,0.013156123128754188,0.0029267284602381414,0.0015216208396029653,0.006454578615654075,0.022432256264674735,0.01310477400526313,0.1252237259123409,0.007391695037332703,0.12060018784995426,0.013090815628516645
GOVPRIORITYc_W54,0.02594223646641999,0.0011033874665223138,0.007005198459825807,0.01626509206853615,0.003376747412824687,0.002805752134913416,0.011512847847679942,0.018719481385695166,0.009045666116853845,0.10309324870841306,0.00905989298382249,0.10665341156513637,0.022666111446816607
ECON5_h_W54,0.025635879183157725,0.0017493392229691422,0.011918545512111743,0.010855387053516184,0.006801725133824889,0.0011918910479050957,0.01423565017747037,0.021280310795901796,0.010892906645085432,0.09953262744395104,0.005387191863268435,0.1009038218515991,0.022881153450289474
INEQ5_l_W54,0.025601696877744426,0.0032267228533437277,0.012346615460233148,0.0002389339465041945,0.023545118563631603,0.002559946014420613,0.009381653065213288,0.03503119726978598,0.012152753288650892,0.08728094850798598,0.005450433722460965,0.10994844225595368,0.006057597584749039
INEQ8_d_W54,0.025469093031773384,0.0017479698579583656,0.011404904463533953,0.007742276392682346,0.004043822530495217,0.005783370450512489,0.0127535655923298,0.024729688721480035,0.010780115089645496,0.09245224571355126,0.007672600065350601,0.10564471913951977,0.020873838364221266
INEQ8_c_W54,0.025425380774558536,0.0018196470603843295,0.006031415537843826,0.014809582576432225,0.0029523109567569047,0.006330954595287729,0.008394116484845239,0.02094929179178306,0.010675977748374385,0.10288119806846577,0.006848075636730521,0.11122098261485552,0.012191016222942946
